source,target,tgt_lng
Intel processor,英特尔处理器,
8086,8086,
record length,记录长度,
recycle,循环,
refresh,刷新,
SPLDs,简单可编程逻辑器件,
SPP,SPP,
S-R latch,S-R锁存器,
SRAM-based FPGAs,基于静态随机存取存储器的现场可编程门阵列,
SRAMs,静态随机存取存储器,
RAMs,随机存取存储器,
SSOP,SSOP,
Stack pointer,堆栈指针,
Standard POS expressions,标准乘积和表达式,
Product-of-sums,乘积和,
Standard SOP expressions,标准和之积表达式,
Sum-of-products,和之积,
State diagrams,状态图,
State machines,状态机,
Mealy,米利,
Moore,摩尔,
Static memory cells,静态存储单元,
Statistical TDM,统计时分复用,
Status registers,状态寄存器,
Storage,存储,
cloud,云,
Strings,字符串,
Strobing,选通,
Structural approach,结构化方法,
Subroutines,子程序,
Subtraction,减法,
Subtrahend,减数,
Successive-approximation ADC,逐次逼近型模数转换器,
Sum,和,
Sum terms,和项,
Sum-of-weights method,权值和法,
Synchronous bistable devices,同步双稳态器件,
Synchronous buses,同步总线,
Synchronous cascading,同步级联,
Synchronous counter design,同步计数器设计,
Synchronous counters,同步计数器,
Synchronous DRAM,同步DRAM,
Synchronous frames,同步帧,
Synchronous inputs,同步输入,
OTP,一次性可编程,
Output enable access time,输出使能访问时间,
Overflow,溢出,
Packets,数据包,
Pads,焊盘,
macrocells,宏单元,
AND/OR structure,与/或结构,
programmable interconnection lines,可编程互连线,
SOP expression implementation,和之积表达式实现,
PAM,脉冲幅度调制,
Parallel binary adders,并行二进制加法器,
voting system application,投票系统应用,
Parallel buses,并行总线,
IEEE-488,IEEE-488,
PCI,PCI,
PCI-Express,PCI-Express,
PCI-X,PCI-X,
Parallel data,并行数据,
Parallel in/parallel out shift registers,并入并出移位寄存器,
Parallel in/serial out shift registers,并入串出移位寄存器,
Parallel loading,并行加载,
Parallel-to-serial conversion,并行到串行转换,
Parity checks,奇偶校验,
even,偶校验,
odd,奇校验,
Parity bits,奇偶校验位,
Parity checker,奇偶校验器,
Parity generator,奇偶生成器,
Partial decoding,部分译码,
Partial products,部分积,
PCM,脉冲编码调制,
PDM,脉冲持续时间调制,
Period,周期,
Periodic pulse waveform,周期性脉冲波形,
Peripherals,外设,
ADCs,模数转换器,
DACs,数模转换器,
communication controllers,通信控制器,
external memory controllers,外部存储器控制器,
general-purpose I/O,通用输入/输出,
microcontroller,微控制器,
pulse width modulators,脉宽调制器,
quadrature encoders,正交编码器,
timers,定时器,
Personal handheld systems,个人手持系统,
Phase splitters,相位分离器,
PIA,PIA,
Pin numbering,引脚编号,
Pins,引脚,
Pipeline operation,流水线操作,
Pipelining,流水线,
Pits,凹坑,
PLA,可编程逻辑阵列,
Place and route,布局布线,
Platform FPGAs,平台FPGA,
PLCC,塑料引线芯片载体,
eight-input data selector/multiplexer,八输入数据选择器/多路复用器,
4-bit magnitude comparator,4位数值比较器,
gated D latch,门控D锁存器,
decimal-to-binary encoder,十进制到二进制编码器,
1-of-16,16选1,
serial in/parallel out shift register,串入并出移位寄存器,
up/down counter,加减计数器,
PMOS,PMOS,
Polarity indicator,极性指示器,
Polling,轮询,
Pop operation,弹出操作,
Ports,端口,
3-bit synchronous binary counter,3位同步二进制计数器,
3-variable Karnaugh map,三变量卡诺图,
Throughput,吞吐量,
Time delay application,时间延迟应用,
Time division multiplexing,时分复用,
TDM,时分复用,
Time stamp counter,时间戳计数器,
TSC,TSC,
Time-delay devices,延时器件,
Timer circuits,定时器电路,
Timing diagrams,时序图,
BCD decade counter,BCD十进制计数器,
exclusive-NOR gate,异或非门,
read cycle,读取周期,
2-bit synchronous binary counter,2位同步二进制计数器,
write cycle,写周期,
Timing simulation,时序仿真,
glitches,毛刺,
TMS320C6000 series DSP,TMS320C6000系列DSP,
Toggle,翻转,
Tone duration,音调持续时间,
Top-of-stack registers,栈顶寄存器,
Totem-pole arrangement,图腾柱结构,
Totem-pole outputs,图腾柱输出,
Traffic signal controller,交通信号控制器,
combinational logic,组合逻辑,
frequency divider,分频器,
state decoder,状态解码器,
state diagram,状态图,
timing circuits,定时电路,
trigger logic,触发逻辑,
Trailing edge,下降沿,
Trailing zero suppression,尾随零抑制,
Transistors,晶体管,
Traps,陷阱,
Triggering,触发,
Triggers,触发器,
Tri-state CMOS gates,三态CMOS门,
TTL gates,TTL门,
Tri-state buffers,三态缓冲器,
boundary scan testing,边界扫描测试,
cascade counters,级联计数器,
flip-flops,触发器,
half-splitting method,分半法,
signal substitution and injection,信号替换与注入,
waveform simulation,波形仿真,
Truncated sequence,截断序列,
Truth tables,真值表,
Boolean expressions,布尔表达式,
logic circuits,逻辑电路,
POS expressions,POS表达式,
SOP expressions,SOP表达式,
J-K flip-flops,J-K触发器,
4-bit parallel adder,4位并行加法器,
1-of-16 decoder,16选1译码器,
AND-OR Invert logic,与或非逻辑,
AND-OR logic,与或逻辑,
modulo-2 operation,模2运算,
Bypass register,旁路寄存器,
Byte-interleaved TDM,字节交织时分复用,
Bytes,字节,
Cache,缓存,
Cache memory analogy,缓存存储类比,
L1 and L2 caches,L1和L2缓存,
Memory hierarchy,存储器层次结构,
Caching,缓存,
CAD,计算机辅助设计,
CAN bus,CAN总线,
Capacity,容量,
Memory capacity,存储容量,
Word capacity,字容量,
Carries,进位,
Carry generation,进位生成,
Carry propagation,进位传播,
Asynchronous cascade counters,异步级联计数器,
Synchronous cascade counters,同步级联计数器,
Maximum modulus,最大模数,
Truncated sequences,截断序列,
Cascading,级联,
Full-modulus,全模数,
CCD memories,电荷耦合器件存储器,
CD-R,CD-R,
CD-ROM,CD-ROM,
CD-RW,CD-RW,
Cells,单元,
Karnaugh map,卡诺图,
Channel count,通道数,
Characters,字符,
Checksum,校验和,
Chip enable access time,芯片使能访问时间,
Integrated circuits,集成电路,
Clear,清零,
Clock,时钟,
Clock synchronization,时钟同步,
Two-phase generator,两相发生器,
Cloud storage architecture,云存储架构,
Clusters,集群,
Storage redundancy,存储冗余,
CMOS,CMOS,
ECL performance comparison,发射极耦合逻辑性能比较,
Loading,负载,
Logic levels,逻辑电平,
MOSFETs,MOSFET,
Open-drain gates,开漏门,
Power dissipation,功耗,
Protection circuitry,保护电路,
Tri-state gates,三态门,
TTL performance comparison,晶体管-晶体管逻辑性能比较,
Unused gate inputs,未使用门输入,
Coarse-grained FPGA,粗粒度现场可编程门阵列,
Coaxial cable,同轴电缆,
Code conversion function,代码转换功能,
Code converters,代码转换器,
BCD-to-binary conversion,BCD转二进制转换,
Binary-to-Gray conversion,二进制转格雷码转换,
Gray-to-binary conversion,格雷码转二进制转换,
Process control system,过程控制系统,
Codec,编解码器,
Alphanumeric codes,字母数字代码,
Digital codes,数字代码,
8421 BCD,8421 BCD码,
Error codes,纠错码,
Unicode,Unicode,
Collector,集电极,
AND-OR,与或,
AND-OR Invert,与或非,
Boolean expression,布尔表达式,
Exclusive-NOR,同或,
Exclusive-OR,异或,
Logic circuit,逻辑电路,
NAND gates,与非门,
NOR gates,或非门,
Open input,开路输入,
Open output,开路输出,
Output level,输出电平,
Pulse waveform operation,脉冲波形操作,
Shorted input,短路输入,
Shorted output,短路输出,
Signal tracing,信号追踪,
Waveform analysis,波形分析,
Truth table,真值表,
BCD-to-7-segment decoder,BCD转七段译码器,
zero suppression,零抑制,
BCD-to-decimal decoder,BCD转十进制译码器,
Behavioral approach,行为方法,
Biased exponents,偏置指数,
Bidirectional BSC,双向BSC,
Bidirectional shift registers,双向移位寄存器,
PLD (programmable logic device),可编程逻辑器件 (PLD),
Binary addition,二进制加法,
Binary arithmetic,二进制算术,
Binary division,二进制除法,
floating-point numbers,浮点数,
Binary multiplication,二进制乘法,
Binary subtraction,二进制减法,
Binary system,二进制系统,
Binary coded decimal (BCD),二进制编码十进制 (BCD),
8421 code,8421码,
Binary decoder,二进制译码器,
Binary digits,二进制数字,
Binary numbers,二进制数,
Binary representation,二进制表示,
LSB (least significant bit),最低有效位 (LSB),
Binary-to-decimal conversion,二进制转十进制转换,
Binary-to-Gray code conversion,二进制转格雷码转换,
Binary-to-octal conversion,二进制转八进制转换,
Binary-weighted-input DAC,二进制加权输入DAC,
BIOS (basic input/output system),基本输入/输出系统 (BIOS),
TTL (transistor-transistor logic),晶体管-晶体管逻辑 (TTL),
Bipolar junction transistors (BJTs),双极结型晶体管 (BJTs),
Bistable devices,双稳态器件,
Bistable multivibrators,双稳态多谐振荡器,
Bit manipulation instructions,位操作指令,
Bit-interleaved TDM,比特交织TDM,
Bits,位,
MSB (most significant bit),最高有效位 (MSB),
sign bit,符号位,
BJT (bipolar junction transistor),双极结型晶体管 (BJT),
Blu-ray,蓝光,
"Boole, George",乔治·布尔,
Boolean algebra,布尔代数,
DeMorgan’s theorems,德摩根定理,
Boolean analysis,布尔分析,
product-of-sums (POS),和之积 (POS),
sum-of-products (SOP),积之和 (SOP),
Boundary scan,边界扫描,
Test Access Port (TAP),测试访问端口 (TAP),
ABEL,ABEL,
ADC0804,ADC0804,
AHDL,AHDL,
AND-OR Invert logic circuit,与或非逻辑电路,
AND-OR logic circuit,与或逻辑电路,
Anti-aliasing filter,抗混叠滤波器,
Antifuse technology,反熔丝技术,
Application software,应用软件,
active-HIGH,高电平有效,
Demultiplexers (DMUX),解复用器 (DMUX),
Design entry,设计输入,
text entry,文本输入,
Destination operand,目标操作数,
Device programmers,器件编程器,
Differential buses,差分总线,
Differential nonlinearity,差分非线性,
Digital multimeter (DMM),数字万用表 (DMM),
Digital signal processing,数字信号处理,
Digital signal processors (DSPs),数字信号处理器 (DSPs),
Harvard architecture,哈佛架构,
Digital waveforms,数字波形,
Digital-to-analog converters (DACs),数模转换器 (DACs),
binary-weighted-input,二进制加权输入,
R/2R ladder,R/2R梯形网络,
reconstruction filter,重构滤波器,
DIMMs (dual in-line memory modules),双列直插内存模块 (DIMMs),
Diodes,二极管,
DIP (dual in-line package),双列直插封装 (DIP),
Distributed refresh,分布式刷新,
Division,除法,
DLT tape,DLT磁带,
DMA (direct memory access),直接内存访问 (DMA),
SRAM,静态随机存取存储器,
Floating-gate MOS,浮栅MOS,
Forward-biased,正向偏置,
4-bit decoder,4位译码器,
4-bit Johnson counter,4位约翰逊计数器,
4-bit parallel adders,4位并行加法器,
Adders,加法器,
4-bit synchronous binary counter,4位同步二进制计数器,
4-bit synchronous decade counter,4位同步十进制计数器,
4-line-to-10-line decoder,4线到10线译码器,
1-of-10 decoder,10选1译码器,
4-line-to-16-line decoder,4线到16线译码器,
4-variable Karnaugh map,四变量卡诺图,
FPGAs,FPGA,
field-programmable gate arrays,现场可编程门阵列,
configurable logic blocks,可配置逻辑块,
CLBs,CLBs,
input/output blocks,输入/输出块,
I/O blocks,输入/输出块,
Fractions,分数,
Frequency division,频率分频,
Frequency waveform,频率波形,
frequency-shift keying,频移键控,
Full-duplex mode,全双工模式,
Full-modulus cascading,全模级联,
Function generators,函数发生器,
Function tables,功能表,
Fuse technology,熔丝技术,
generic array logic,通用阵列逻辑,
simple programmable logic devices,简单可编程逻辑器件,
Gated S-R latch,门控S-R锁存器,
Logic gates,逻辑门,
GPIO,通用输入输出,
General-Purpose Interface Bus,通用接口总线,
Graphic,图形,
Magnetic memories,磁存储器,
Magnetic storage hard disks,磁存储硬盘,
Magneto-optical disks,磁光盘,
Manchester encoding,曼彻斯特编码,
Mantissa,尾数,
Mask ROM,掩模只读存储器,
Maximum clock frequency,最大时钟频率,
Mechatronics,机电一体化,
Medium-scale integration (MSI),中规模集成 (MSI),
Memories,存储器,
CCD (charge-coupled device),CCD（电荷耦合器件）,
Content-addressable,内容可寻址,
First in-first out (FIFO),先进先出 (FIFO),
Last in-last out (LIFO),后进先出 (LIFO),
RAM (random access memory),RAM（随机存取存储器）,
ROM (read-only memory),ROM（只读存储器）,
Semiconductor,半导体,
Static,静态,
System on chip (SoC),片上系统 (SoC),
Volatile,易失性,
Memory arrays,存储器阵列,
Asynchronous SRAM,异步SRAM,
2-dimensional,二维,
Memory cells,存储单元,
Memory depth,存储深度,
Memory expansion,存储器扩展,
Memory modules,存储器模块,
Word length,字长,
Auxiliary storage,辅助存储,
Caches,缓存,
Registers,寄存器,
Memory latency,存储器延迟,
SIMMs (single in-line memory modules),SIMM（单列直插内存模块）,
Metal nitride-oxide silicon (MNOS),金属氮氧化硅 (MNOS),
MFLOPS,MFLOPS,
Microcontrollers,微控制器,
Automated systems,自动化系统,
Automobile systems,汽车系统,
Consumer appliances,消费电器,
Embedded,嵌入式,
Microprocessors,微处理器,
Addressing modes,寻址模式,
ALU (arithmetic logic unit),ALU（算术逻辑单元）,
Bus request operations,总线请求操作,
Exceptions,异常,
Fetch/execute cycle,取指/执行周期,
Instruction decoder and timing/control unit,指令译码器和时序/控制单元,
Interrupts,中断,
Multicore,多核,
Shift register emulation,移位寄存器仿真,
Special operations,特殊操作,
Minimization,最小化,
Espresso,Espresso,
Karnaugh map POS,卡诺图POS,
Karnaugh map SOP,卡诺图SOP,
Minterm,最小项,
Minuend,被减数,
MIPS,MIPS,
Miss,缺失,
MMU (memory management units),MMU（存储器管理单元）,
Mnemonics,助记符,
MOD10,MOD10,
Mode dependency,模式依赖,
Analog signals with digital data,数字数据的模拟信号,
ASK (amplitude-shift keying),ASK（幅移键控）,
Constellation map representation,星座图表示,
Embedded Systems,嵌入式系统,
32-bit counters,32位计数器,
underflow,下溢,
sliding door,滑动门,
computer mouse,计算机鼠标,
robotic assemblies,机器人组件,
motor control,电机控制,
winding current,绕组电流,
SDRAM,SDRAM,
Operating Systems,操作系统,
nonmultitasking,非多任务处理,
processes,进程,
C++,C++,
real-time clock,实时时钟,
I/O ports,输入/输出端口,
data files,数据文件,
CPU time,CPU时间,
memory,内存,
system peripherals,系统外设,
messaging between processes,进程间通信,
low-level hardware drivers,低级硬件驱动程序,
single-core processor,单核处理器,
preemptive multitasking,抢占式多任务处理,
non-preemptive multitasking,非抢占式多任务处理,
IEEE-488 bus,IEEE-488总线,
Immediate addressing,立即寻址,
D flip-flops,D触发器,
programmable logic software,可编程逻辑软件,
S-R (SET-RESET) latch,S-R（置位-复位）锁存器,
Incrementing,递增,
Index register,索引寄存器,
Indexed addressing,索引寻址,
Inequality comparison,不等比较,
Inherent addressing,固有寻址,
Inputs,输入,
Instances,实例,
Instruction pointer,指令指针,
Instruction register,指令寄存器,
Instructions,指令,
arithmetic,算术,
bit manipulation,位操作,
data transfer,数据传输,
loops and jumps,循环与跳转,
processor control,处理器控制,
subroutines and interrupts,子程序与中断,
types of,类型,
In-system programming,在系统编程,
ISP,ISP,
Integers,整数,
Integrated circuit packages,集成电路封装,
Integrated circuits (ICs),集成电路（IC）,
CMOS (complementary MOS),CMOS（互补金属氧化物半导体）,
ECL (emitter-coupled logic),ECL（发射极耦合逻辑）,
fixed-function,固定功能,
grounding,接地,
operational characteristics and parameters,工作特性与参数,
speed-power product (SPP),速度功耗积（SPP）,
technologies,技术,
Intellectual property,知识产权,
Internal buses,内部总线,
Internal carries,内部进位,
Interpreters,解释器,
Interrupt service routine (ISR),中断服务程序（ISR）,
Interrupt vector table,中断向量表,
Intest,Intest,
Inversion bar,反相条,
Inverters,反相器,
1’s complement,一的补码,
multiplexed,复用的,
processor support,处理器支持,
JTAG (Joint Test Action Group),JTAG（联合测试行动组）,
Programmable fuse,可编程熔丝,
Programmable ROMs,可编程只读存储器,
PROMs,PROM,
Programming process,编程过程,
synthesis,综合,
Programs,程序,
driver,驱动器,
object,目标程序,
source,源,
asynchronous counters,异步计数器,
Protocols,协议,
phase-shift keying,相移键控,
Pull-up resistors,上拉电阻,
Pulse oscillators,脉冲振荡器,
Pulse trains,脉冲序列,
Pulse waveform,脉冲波形,
Pulse widths,脉冲宽度,
nonretriggerable one-shot,不可重触发单稳态电路,
Pulses,脉冲,
Push operation,压栈操作,
QIC tape,QIC磁带,
Quad 2-input NAND gate,四路双输入与非门,
Qualifying symbol,限定符号,
Queues,队列,
Quine-McCluskey method,奎因-麦克拉斯基方法,
Quotients,商,
