source,target,tgt_lng
Stabilized data converter,稳定型数据转换器,
chopper-stabilization,斩波稳定技术,
Figure 26.18,图26.18,
data converter,数据转换器,
dynamic range,动态范围,
offset trim,失调调整,
zero drift,零点漂移,
AD650,AD650,
V!F converter,电压-频率转换器,
1MHz full-scale operation,1 MHz满量程工作,
4mV input offset,4 mV输入失调,
3 1/2 decades,3.5个十倍频程,
resistor string,电阻串,
Pins 13 and 14,13号引脚和14号引脚,
30mV/°C drift,30 mV/°C漂移,
3Hz/°C zero point error,3 Hz/°C零点误差,
summing node,求和节点,
dual FETs,双场效应管,
bias current caused errors,偏置电流引起的误差,
integrator configuration,积分器配置,
divider network,分压网络,
6 decade operation,6个十倍频程工作,
10V,10伏,
1MHz,1 MHz,
W10V,W10V,
W100V,W100V,
100MHz to 200MHz region,100 MHz至200 MHz频段,
LTC1629,LTC1629,
PLLIN,PLLIN,
CLKOUT,CLKOUT,
PHASMD,PHASMD,
INTVCC,INTVCC,
SGND,SGND,
Table 14.1,表14.1,
Table 14.2,表14.2,
Figure 14.11,图14.11,
Figure 14.12,图14.12,
V0+,V0+,
VDIFFOUT,VDIFFOUT,
EAIN,EAIN,
ITH,ITH,
LT1070,LT1070,
100kHz to 1MHz,100 kHz 至 1 MHz,
2.3V,2.3 V,
3V to 60V,3 V 至 60 V,
40kHz,40 kHz,
1.2V,1.2 V,
"Shakespeare, William",威廉·莎士比亚,
The Taming of the Shrew,驯悍记,
1593-94,1593–1594年,
Application Note 86,应用笔记86,
January 2001,2001年1月,
"Braatz, Dennis",丹尼斯·布拉茨,
"Haas, Isy",伊斯·哈斯,
"Chaplin, G. B. B.",G. B. B. 查普林,
"Motorola, Inc.",摩托罗拉公司,
Application Note 70,应用笔记70,
October 1997,1997年10月,
"Andrews, James R.",詹姆斯·R. 安德鲁斯,
Picosecond Pulse Labs,皮秒脉冲实验室,
Application Note AN-3a,应用笔记AN-3a,
1988,1988年,
"Martin, Michael J.",迈克尔·J. 马丁,
"Madden, C. J.",C. J. 马登,
"Rodwell, M. J. W.",M. J. W. 罗德韦尔,
"Marsland, R. A.",R. A. 马斯兰德,
"Bloom, D. M.",D. M. 布鲁姆,
"Pao, Y. C.",Y. C. 鲍,
IEEE Electron Device Lett.,IEEE电子器件快报,
9,第9卷,
303–305,303–305页,
1X FET probe,1倍FET探头,
clamp diodes,钳位二极管,
oscilloscope overdrive,示波器过载,
Schottky diodes,肖特基二极管,
settling time measurements,建立时间测量,
FET switches,FET开关,
gate-source capacitance,栅源电容,
Schottky sampling bridge,肖特基采样桥,
DAC-amplifier,DAC放大器,
unity gain broadband FET input buffer,单位增益宽带FET输入缓冲器,
74123 one shot,74123单稳态触发器,
20k potentiometer,20千欧电位器,
5k potentiometer,5千欧电位器,
Q1-Q4 transistors,Q1-Q4晶体管,
Q1-Q2,Q1-Q2,
UHF types,超高频型,
2k-2k settle node divider,2千欧-2千欧建立节点分压器,
sampling oscilloscope,采样示波器,
Ohm’s Law,欧姆定律,
Bridge Circuits — Marrying Gain and Balance,电桥电路——增益与平衡的结合,
Application Note 43,应用笔记43,
"Meacham, L.A.",L.A. 米查姆,
The Bridge Stabilized Oscillator,电桥稳频振荡器,
Bell System Technical Journal,贝尔系统技术期刊,
"Hewlett, William R.",威廉·R·休利特,
"Palo Alto, California",加利福尼亚州帕洛阿尔托,
"U.S. Patent No. 2,768,872",美国专利号2768872,
"Bauer, Brunton",布鲁顿·鲍尔,
"Black, H.S.",H.S. 布莱克,
Stabilized Feedback Amplifier,稳定化反馈放大器,
"Analog Devices, Inc., Linear Products Databook",亚德诺半导体公司线性产品数据手册,
AD834 Datasheet,AD834数据手册,
Trigger Circuit – Peak-Peak Automatic Operation,触发电路——峰值自动操作,
"Wien, Max",马克斯·韦恩,
Measung der induction con stanten mit dern Optischen Telephon,用光学电话测量电感常数,
Ann. der Phys.,物理学年鉴,
"Dostal, J.",J. 多斯塔尔,
Philbrick Researches,菲尔布里克研究所,
Applications Manual for Operational Amplifiers,运算放大器应用手册,
IV.18,IV.18,
IV.19,IV.19,
IV.20,IV.20,
IV.21,IV.21,
IV.22,IV.22,
IV.23,IV.23,
IV.24,IV.24,
IV.25,IV.25,
IV.26,IV.26,
IV.27,IV.27,
IV.28,IV.28,
IV.29,IV.29,
IV.30,IV.30,
IV.31,IV.31,
IV.32,IV.32,
IV.33,IV.33,
V.1,V.1,
V.2,V.2,
V.3,V.3,
V.4,V.4,
V.5,V.5,
V.6,V.6,
Murphy’s Law,墨菲定律,
Ohm’s,欧姆定律,
H. Cohen,H. 科恩,
Roundhill Associates,朗希尔联合公司,
P. Birman,P. 伯曼,
Kepco,凯普科公司,
T. Emma,T. 埃玛,
Western Union,西联公司,
K. Sueker,K. 苏克尔,
Westinghouse Semiconductor,西屋半导体公司,
P. Muchnick,P. 穆奇尼克,
Sorensen,索伦森公司,
A. Rosenfeld,A. 罗森菲尔德,
Micro-Power,微功率公司,
R. Cushman,R. 卡什曼,
McCann/ITSM,麦坎/ITSM公司,
S. Froud,S. 弗劳德,
Industrial Communications Associates,工业通信协会,
L. LeVieux,L. 勒维厄,
Texas Instruments,德州仪器公司,
G. Toner,G. 托纳,
Sylvania,斯林尼亚公司,
H. Roth,H. 罗思,
Power Designs,电源设计公司,
W. Buck,W. 巴克,
Marconi Instruments,马可尼仪器公司,
A. de la Lastra,A. 德拉拉斯特拉,
SBD Systems,SBD系统公司,
P. Dietz,P. 迪茨,
Data Technology,数据技术公司,
LT1074,LT1074,
reverse recovery time,反向恢复时间,
forward turn-on time,正向导通时间,
hard turn-off diodes,硬关断二极管,
soft turn-off diodes,软关断二极管,
LTC Application Note 18,LTC应用笔记18,
LTC Application Notes 19,LTC应用笔记19,
LTC Application Notes 25,LTC应用笔记25,
Appendix C,附录C,
Tektronix P-6042,Tektronix P-6042,
Tektronix AM-503,Tektronix AM-503,
Hall effect stabilized current transformer,霍尔效应稳定型电流互感器,
clip-on current probe,钳形电流探头,
Appendix B,附录B,
sub-nanosecond rise time pulse generators,亚纳秒上升时间脉冲发生器,
Hewlett-Packard HP-8082A,惠普HP-8082A,
Tektronix type 111,泰克111型,
HP-215A,HP-215A,
Figure B1,图B1,
400ps rise time avalanche pulse generator,400皮秒上升时间雪崩脉冲发生器,
LTC1799,LTC1799,
Figure B2,图B2,
Figure B3,图B3,
LTC1696,LTC1696,
SCR,可控硅整流器,
Figure 17.10,图17.10,
Figure 17.6,图17.6,
Figure 17.11,图17.11,
Figure 17.12,图17.12,
LT1506,LT1506,
Figure 17.13,图17.13,
2.5A,2.5安培,
grounded cathode current source,接地阴极电流源,
grounded cathode laser,接地阴极激光器,
Appendix H,附录H,
William R. Hewlett,威廉·R·休利特,
1939,1939年,
sine wave oscillator,正弦波振荡器,
Cathode feedback,阴极反馈,
RF,射频,
wideband instrument design,宽带仪器设计,
1950s,20世纪50年代,
G.A. Philbrick Researches,G.A. 菲尔布里克研究所,
K2-W,K2-W,
operational amplifier,运算放大器,
voltage type feedback,电压型反馈,
high impedance differential inputs,高阻抗差分输入,
emitter feedback,发射极反馈,
transistor,晶体管,
current feedback,电流反馈,
bandwidth,带宽,
closed loop gain,闭环增益,
voltage feedback amplifiers,电压反馈放大器,
monolithic devices,单片器件,
hybrid devices,混合器件,
DC performance,直流性能,
William H. Gross,威廉·H·格罗斯,
current feedback amplifiers,电流反馈放大器,
feedback resistors,反馈电阻,
internal compensation capacitor,内部补偿电容,
inverting input,反相输入端,
Rg,增益设置电阻 Rg,
Thevenin equivalent resistance,戴维南等效电阻,
Figure 5.25,图5.25,
DIOUT,DIOUT,
VOUT,输出电压,
1.2k,1.2k,
#26 hookup wire,26号连接线,
Figure 5.26,图5.26,
LM308,LM308,
lithium battery,锂电池,
RC network,RC网络,
comparators,比较器,
VP-P output,峰峰值输出,
CMOS latches,CMOS锁存器,
unclocked CMOS logic,无时钟CMOS逻辑,
