source,target,tgt_lng
OrCAD,OrCAD,
OrCAD Capture,OrCAD Capture,
PSpice,PSpice,
"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",
Multisim,Multisim,
National Instruments,国家仪器公司,
"Pearson Education, Inc.",培生教育出版公司,
United States of America,美国,
New Jersey,新泽西州,
Library of Congress Cataloging-in-Publication Data,美国国会图书馆编目出版数据,
TK7867.B66 2013,TK7867.B66 2013,
621.3815—dc23,621.3815—dc23,
11th edition,第11版,
1972,1972年,
electronic devices,电子器件,
semiconductor devices,半导体器件,
vacuum-tube devices,真空管器件,
field-effect transistor,场效应晶体管,
FET,场效应晶体管,
ac equivalent models,交流等效模型,
computer software packages,计算机软件包,
Pearson Education,培生教育,
BIPOLAR JUNCTION TRANSISTORS,双极结型晶体管,
Common-Emitter Configuration,共发射极配置,
Common-Base BJT transistor configuration,共基极BJT晶体管配置,
npn,npn,
pnp,pnp,
I CBO,I CBO,
I CEO,I CEO,
dc beta,直流β,
b dc,β直流,
b ac,β交流,
a dc,α直流,
p-channel JFET,P沟道结型场效应晶体管,
IDSS,IDSS,
VP,夹断电压,
2N5457 JFET,2N5457结型场效应晶体管,
Shockley’s equation,肖克利方程,
Depletion-Type MOSFET,耗尽型MOSFET,
n-channel depletion-type MOSFET,N沟道耗尽型MOSFET,
2N3797 MOSFET,2N3797金属氧化物半导体场效应晶体管,
Else Marie,Else Marie,
Alison,Alison,
Mark,Mark,
Eric,Eric,
Rachel,Rachel,
Stacey,Stacey,
Jonathan,Jonathan,
Kelcy,Kelcy,
Morgan,Morgan,
Codie,Codie,
Samantha,Samantha,
Lindsey,Lindsey,
Britt,Britt,
Skylar,Skylar,
Aspen,Aspen,
Katrin,Katrin,
Kira,Kira,
Thomas,Thomas,
Larren,Larren,
Patricia,Patricia,
Justin,Justin,
Brendan,Brendan,
Owen,Owen,
Tyler,Tyler,
Colin,Colin,
Dillon,Dillon,
SEMICONDUCTOR,半导体,
DIODES,二极管,
Zener Diodes,齐纳二极管,
Light-Emitting Diodes,发光二极管,
germanium,锗,
silicon,硅,
LED,LED,
human eye,人眼,
cones,视锥细胞,
brain,大脑,
white LEDs,白光LED,
blue gallium nitride LED,氮化镓蓝光LED,
yttrium-aluminum garnet (YAG) phosphor,钇铝石榴石(YAG)荧光粉,
phosphor,荧光粉,
yellow light,黄光,
white light,白光,
incandescent lighting,白炽灯照明,
fluorescent lighting,荧光灯照明,
lumens per watt,流明每瓦,
D cell batteries,D型电池,
LED lighting,LED照明,
flashlights,手电筒,
automobiles,汽车,
tube light,管灯,
flood light,泛光灯,
chandelier bulbs,枝形吊灯灯泡,
seven-segment digital display,七段数码显示器,
dual in-line integrated circuit package,双列直插式集成电路封装,
common-anode,共阳极,
common-cathode,共阴极,
anode,阳极,
cathode,阴极,
forward turn-on voltage,正向导通电压,
AC ANALYSIS,交流分析,
output impedance,输出阻抗,
amplifier,放大器,
ohmmeter,欧姆表,
r e model,r e模型,
data sheet,数据手册,
characteristic curves,特性曲线,
amplification factor,放大系数,
beta,β,
h fe,h fe,
collector current,集电极电流,
VCE,VCE,
temperature,温度,
dc operating conditions,直流工作条件,
specification sheet,规格书,
h ie,h ie,
hybrid parameters,混合参数,
transistor,晶体管,
CE fixed-bias configuration,共射固定偏置配置,
voltage gain,电压增益,
input impedance,输入阻抗,
current gain,电流增益,
R C,R C,
voltage-divider bias configuration,分压偏置配置,
stability,稳定性,
biasing resistors,偏置电阻,
CE emitter-bias configuration,共射发射极偏置配置,
unbypassed emitter resistor,未旁路的发射极电阻,
bypassed configuration,旁路配置,
emitter-follower configuration,射极跟随器配置,
common-base configuration,共基极配置,
collector feedback configuration,集电极反馈配置,
collector dc feedback configuration,集电极直流反馈配置,
hybrid equivalent network,混合等效网络,
r o,r o,
common-collector configuration,共集电极配置,
cascaded system,级联系统,
loaded conditions,带载条件,
SILICON-CONTROLLED RECTIFIER,可控硅整流器,
SCR,可控硅整流器,
gate,栅极,
I GT,I GT,
pnpn structure,pnpn结构,
npn device,npn器件,
pnp transistor,pnp晶体管,
Vgate,Vgate,
IB2,IB2,
IC2,IC2,
I CO,I CO,
IB1,IB1,
ICO,ICO,
Q 1,Q1,
V G,V G,
VBE2,VBE2,
Q 2,Q2,
IC1,IC1,
RSCR,RSCR,
JFET amplifier,结型场效应管放大器,
drain current,漏极电流,
drain voltage,漏极电压,
source voltage,源极电压,
gain,增益,
FET Small-Signal Model,场效应管小信号模型,
pinch-off voltage,夹断电压,
device current,器件电流,
bias point,偏置点,
"Bardeen, John","巴丁, 约翰",
"Brattain, Walter H.","布拉顿, 沃尔特·H.",
"Dacey, Dr. G. C.","戴西, G. C. 博士",
"DeForest, Lee","德福雷斯特, 李",
"Fleming, J. A.","弗莱明, J. A.",
"Kilby, Jack St. Clair","基尔比, 杰克·圣·克莱尔",
"Ohl, Russell","Ohl, Russell",
"Ross, Dr. Ian","罗斯, 伊恩博士",
"Shockley, William Bradford","肖克利, 威廉·布拉德福德",
Control grid,控制栅极,
Controlled battery-powered backup,受控电池供电备份,
Controlled sources,受控源,
Conventional flow,常规电流方向,
Conversion efficiency,转换效率,
Corner frequencies,拐角频率,
Covalent bonding,共价键,
Crystal oscillator,晶体振荡器,
Current-controlled current source,电流控制电流源,
Current-controlled voltage source,电流控制电压源,
Current mirror,电流镜,
Current series feedback,电流串联反馈,
Current source network,电流源网络,
Curve tracer,曲线追踪仪,
Cutoff frequencies,截止频率,
Cutoff region,截止区,
Darlington configuration,达林顿配置,
dB plots,分贝图,
dc biasing BJTs,直流偏置双极结型晶体管,
dc millivoltmeter,直流毫伏表,
dc resistance,直流电阻,
DDM,DDM,
Decibels,分贝,
Depletion region,耗尽区,
Depletion-type MOSFETs,耗尽型MOSFET,
Design BJT,双极结型晶体管设计,
Detector,检波器,
Dielectric,电介质,
Differential amplifier circuit,差分放大电路,
Differential-mode operation,差模操作,
Differentiator,微分器,
Diffusion capacitance,扩散电容,
Digital-analog converters,数模转换器,
Digital display meter,数字显示仪表,
Digital multimeter,数字万用表,
acceptor ions,受主离子,
AND/OR gates,与/或门,
avalanche breakdown region,雪崩击穿区,
biasing,偏置,
body resistance,体电阻,
capacitance,电容,
characteristics,特性曲线,
clampers,箝位器,
computer analysis,计算机分析,
contact resistance,接触电阻,
dc analysis,直流分析,
reverse saturation current,反向饱和电流,
saturation,饱和,
self-bias configuration,自偏置配置,
specification sheets,规格书,
stabilization,稳定化,
summary table,汇总表,
switching networks,开关网络,
temperature effects,温度效应,
terminal identification,端子标识,
testing,测试,
transformer-coupled amplifier,变压器耦合放大器,
troubleshooting,故障排除,
two-port system approach,二端口系统方法,
unbypassed emitter-bias configuration,未旁路发射极偏置配置,
voltage feedback dc biasing,电压反馈直流偏置,
Bode plot,波特图,
Bohr model,玻尔模型,
Break frequency,转折频率,
n-type materials,N型材料,
Nucleus,原子核,
Nyquist criterion,奈奎斯特判据,
Octave,倍频程,
Offset currents and voltages,失调电流与电压,
Op-amp,运算放大器,
Open-circuit,开路,
Open-circuit output admittance parameter,开路输出导纳参数,
"Open-circuit, reverse transfer, voltage ratio parameter",开路反向传输电压比参数,
Opto-isolators,光隔离器,
OR gates,或门,
Oscillator circuits,振荡器电路,
Oscillator operation,振荡器工作原理,
Output impedance with feedback,带反馈的输出阻抗,
Parallel diode configurations,并联二极管配置,
Parallel-resonant circuit,并联谐振电路,
Peak inverse voltage,峰值反向电压,
Pentavalent,五价的,
Phase-locked loop (PLL),锁相环,
Phase margin,相位裕度,
Phase plot,相位图,
Phase relationship collector dc feedback configuration,集电极直流反馈配置的相位关系,
emitter-bias configuration,发射极偏置配置,
voltage-divider configuration,分压器配置,
Phase-shift networks,相移网络,
Phase-shift oscillator,相移振荡器,
Photoconductive cells,光电导电池,
Photodiodes,光电二极管,
Photons,光子,
Phototransistors,光电晶体管,
Pink noise,粉红噪声,
PIV rating,峰值反向电压额定值,
Planck’s constant,普朗克常数,
pMOS on/off operation,pMOS开关操作,
pnpn devices,pnpn器件,
pnp BJT transistor,pnp双极结型晶体管,
Point-contact transistor,点接触晶体管,
Polarity detector,极性检测器,
Positive temperature coefficient,正温度系数,
Power diodes,功率二极管,
Power supplies,电源,
Power transistor heat sinking,功率晶体管散热,
Practical applications alarm systems with a CCS,带恒流源的报警系统实际应用,
audio mixer,音频混音器,
constant-current source,恒流源,
fiber optic system,光纤系统,
logic gates,逻辑门,
MOSFET relay driver,MOSFET继电器驱动器,
motion detector system,运动检测系统,
noninverting opamp,同相运算放大器,
polarity insurance,极性保护,
preamplifier,前置放大器,
protective configuration,保护配置,
random noise generator,随机噪声发生器,
rectification,整流,
regulator,稳压器,
relay driver,继电器驱动器,
silent switching,静音开关,
sound-modulated light source,声音调制光源,
square-wave generator,方波发生器,
three-channel audio mixer,三通道音频混音器,
timer network,定时器网络,
voltage controlled resistor,压控电阻,
voltage-level indicator,电压电平指示器,
voltage reference levels,电压参考电平,
voltmeter,电压表,
Practical feedback circuits,实用反馈电路,
Programmable unijunction transistor,可编程单结晶体管,
Protective configurations,保护配置,
Proximity detector,接近检测器,
PRV,峰值反向电压,
p-type materials,P型材料,
Push–pull circuits,推挽电路,
forward-bias region,正向偏置区,
reverse-bias region,反向偏置区,
metal-whisker type,金属晶须型,
germanium diode,锗二极管,
Schottky diode,肖特基二极管,
leakage currents,漏电流,
PIV,峰值反向电压,
p – n junction,p-n结,
V T,阈值电压,
hot-carrier diode,热载流子二极管,
switching power supplies,开关电源,
recovery time,恢复时间,
gate-to-source voltage,栅源电压,
Section 7.13,第7.13节,
VGS,栅源电压,
pinch-off,夹断,
Fig. 8.55a,图8.55a,
drain,漏极,
dc control,直流控制,
gate terminal,栅极,
D 1,D 1,
S 1,S1,
D 2,D2,
S 2,S2,
47-k(cid:2) resistor,47千欧电阻,
inverting amplifier,反相放大器,
Chapter 10,第10章,
Fig. 8.55b,图8.55b,
audio levels,音频电平,
10 V,10伏,
off resistance,关断电阻,
"10,000 M(cid:2)",10000兆欧,
open circuit,开路,
substrate,衬底,
stray capacitance,杂散电容,
100 MHz,100兆赫,
10 MHz,10兆赫,
input resistance,输入电阻,
1-M(cid:2) resistor,1兆欧电阻,
47-nF capacitors,47纳法电容,
time constant,时间常数,
t = RC,t = RC,
0.047 s,0.047秒,
switching speed,开关速度,
10.6 per second,每秒10.6次,
mixer,混频器,
RC time constant,RC时间常数,
noise,噪声,
ringing,振铃,
charging network,充电网络,
DC BIASING,直流偏置,
BJTs,双极结型晶体管,
collector,集电极,
emitter,发射极,
base,基极,
resistor,电阻器,
saturation region,饱和区,
current-limiting knob,限流旋钮,
V CC,V CC,
V CE,V CE,
V C,V C,
V E,V E,
Fig. 5.136,图5.136,
C 4,C4,
C 5,C5,
C 6,C6,
white,白噪声,
pink,粉红噪声,
Fig. 5.137,图5.137,
12-V bulb,12伏灯泡,
acoustical amplifier,声学放大器,
musical instrument,乐器,
microphone,麦克风,
diode D 1,二极管D1,
capacitor C 2,电容C2,
potentiometer,电位器,
R 1,R1,
R 3,R3,
diode,二极管,
Section 17.3,第17.3节,
Fig. 2.147,图2.147,
Example 2.9,例2.9,
View Output File,查看输出文件,
Fig. 2.148,图2.148,
CIRCUIT DESCRIPTION,电路描述,
Diode MODEL PARAMETERS,二极管模型参数,
INITIAL TRANSIENT SOLUTION,初始瞬态解,
D1N4148 diode,D1N4148二极管,
Fig. 2.149,图2.149,
New Simulation Profile,新建仿真配置文件,
Fig. 2-150,图2-150,
Simulation Settings,仿真设置,
Analysis Type,分析类型,
DC Sweep,直流扫描,
Sweep variable,扫描变量,
Voltage source,电压源,
Linear,线性,
n-TYPE AND p-TYPE MATERIALS,n型和p型材料,
LEDs,发光二极管,
GaAs,砷化镓,
Si,硅,
Ge,锗,
electron volts,电子伏特,
eV,电子伏特,
extrinsic material,非本征材料,
n-type material,N型材料,
p-type material,P型材料,
antimony,锑,
arsenic,砷,
phosphorus,磷,
Group V,第五族,
Periodic Table of Elements,元素周期表,
J2N3819 JFET,J2N3819结型场效应晶体管,
Drain characteristics,漏极特性,
transfer characteristics,转移特性,
VGG,VGG,
ID(J1),ID(J1),
I DSS,I DSS,
V P,夹断电压,
Vto,Vto,
Eq. (6.17),公式(6.17),
PSpice Model Editor Demo,PSpice模型编辑器演示版,
OrCAD 6-1,OrCAD 6-1,
VDD,VDD,
Secondary Sweep,二级扫描,
photoconductive diode,光电导二极管,
CdS unit,CdS单元,
IR Emitters,红外发射器,
radiant flux,辐射通量,
Liquid-Crystal Displays,液晶显示器,
LCD,液晶显示器,
Thermistors,热敏电阻,
SG1010A IR emitter,SG1010A红外发射器,
transmissive mode,透射模式,
reflective mode,反射模式,
transflective operation,透反式操作,
field-effect LCD,场效应液晶显示器,
twisted nematic LCD,扭曲向列型液晶显示器,
dynamic-scattering LCD,动态散射液晶显示器,
light polarizer,光偏振器,
threshold voltage,阈值电压,
VOMs,伏特欧姆毫安表,
DMMs,数字万用表,
dB scale,分贝刻度,
1 mW,1毫瓦,
600 Ω,600欧姆,
Fig. 9.7,图9.7,
ac voltage scale,交流电压量程,
meter manual,仪表手册,
0.775 V rms,0.775伏有效值,
2.5 V,2.5伏,
10.17 dB,10.17分贝,
0.5 V,0.5伏,
-3.8 dB,-3.8分贝,
5 dB,5分贝,
3.1 mW,3.1毫瓦,
conversion table,换算表,
indium,铟,
hole conduction,空穴导电,
semiconductor diode,半导体二极管,
p–n junction diode,p-n结二极管,
forward-bias,正向偏置,
reverse-bias,反向偏置,
thermal voltage,热电压,
diode current,二极管电流,
saturation current,饱和电流,
dc bias voltage,直流偏置电压,
ac voltage,交流电压,
frequency,频率,
capacitors,电容器,
farad,法拉,
AC Sweep/Noise,交流扫描/噪声,
log scale,对数刻度,
vertical axis,垂直轴,
Fig. 2.146,图2.146,
Place part key,放置元件键,
Place Part dialog box,放置元件对话框,
Libraries,库,
Add Library key,添加库键,
Browse File,浏览文件,
analog.olb,analog.olb,
eval.olb,eval.olb,
source.olb,source.olb,
VDC,VDC,
Part List,元件列表,
picture window,预览窗口,
End Mode,结束模式,
Rotate,旋转,
Ctrl-R,Ctrl-R,
0-V ground potential,0伏接地电位,
GND key,接地键,
Place Ground dialog box,放置接地对话框,
0/SOURCE,0/SOURCE,
push–pull operation,推挽操作,
class AB,AB类,
class C,C类,
tuned circuit,调谐电路,
radio,无线电,
communications,通信,
class D,D类,
pulse signals,脉冲信号,
digital techniques,数字技术,
sample-and-hold circuitry,采样保持电路,
amplifier efficiency,放大器效率,
power efficiency,功率效率,
transformer connection,变压器连接,
Table 12.1,表12.1,
Semiconductor materials,半导体材料,
p-type,P型,
relative mobility,相对迁移率,
Semi-log plot,半对数图,
Series diode configurations,串联二极管配置,
Series-fed class A amplifier,串联馈电甲类放大器,
Series-parallel diode configurations,串并联二极管配置,
Series static switch,串联静态开关,
Series-resonant circuit,串联谐振电路,
Series voltage regulation,串联稳压,
Short-circuit,短路,
Short-circuit forward transfer current ratio parameter,短路正向转移电流比参数,
Short-circuit input impedance parameter,短路输入阻抗参数,
Shot noise,散粒噪声,
Shunt voltage regulation,并联稳压,
Silent switching network,静音开关网络,
Silicon-controlled rectifiers (SCRs),可控硅整流器 (SCR),
Silicon-controlled switch,硅控开关,
Single-ended input,单端输入,
Slew rate,转换速率,
Snubber,缓冲器,
Software,软件,
Solar cells,太阳能电池,
Source-follower configuration,源极跟随器配置,
JFETs,结型场效应晶体管,
Square-wave testing,方波测试,
Stability factor,稳定因子,
Storage time,存储时间,
Summary tables,汇总表,
field effect transistors,场效应晶体管,
loaded BJT transistor amplifiers,带负载双极结型晶体管放大器,
switching regulation,开关稳压,
unloaded BJT transistor amplifiers,无负载双极结型晶体管放大器,
Superposition,叠加原理,
Temperature coefficient,温度系数,
Temperature controller,温度控制器,
Testing BJTs,双极结型晶体管测试,
Testing diodes,二极管测试,
Tetravalent,四价,
Thévenin equivalent,戴维南等效,
Timer IC operation,定时器集成电路操作,
Transconductance,跨导,
Transformation current,变换电流,
impedance,阻抗,
voltage,电压,
Transformer,变压器,
Transformer-coupled class A amplifier,变压器耦合甲类放大器,
Transistor phase-shift oscillator,晶体管相移振荡器,
Transistor tester,晶体管测试仪,
Transition capacitance,过渡电容,
Triac,双向可控硅,
Triode,三极管,
Tripler,三倍压器,
Trivalent,三价,
Troubleshooting BJTs,双极结型晶体管故障排查,
Troubleshooting JFETs,结型场效应晶体管故障排查,
Tuned oscillator circuit,调谐振荡电路,
Tunnel diodes,隧道二极管,
Turns ratio,匝数比,
Two-port systems approach,二端口系统方法,
Two-terminal devices,两端器件,
electron,电子,
discrete energy level,离散能级,
energy gap,能隙,
wavelength,波长,
visible range,可见光范围,
infrared devices,红外设备,
GaAsP,GaAsP,
red zone,红色区域,
compound semiconductor,化合物半导体,
Hewlett-Packard,惠普,
forward current,正向电流,
V F,正向电压,
diode characteristics,二极管特性,
Electrical/Optical Characteristics,电/光特性,
axial luminous intensity,轴向发光强度,
luminous efficacy,发光效能,
candelas,坎德拉,
lumens,流明,
footcandle,英尺烛光,
normalized plot,归一化图,
FET AMPLIFIER,场效应管放大器,
lower cutoff frequency,下限截止频率,
midband gain,中频增益,
RC combination,RC组合,
break frequencies,转折频率,
7490,7490,
FSK,频移键控,
RS-232C,RS-232C,
RC ladder filter,RC梯形滤波器,
driver circuit,驱动电路,
receiver circuit,接收电路,
interface circuits,接口电路,
IC phase-shift oscillator,IC移相振荡器,
IC voltage regulator,IC电压调节器,
Ideal diode,理想二极管,
Inductor,电感器,
Infrared,红外线,
donor atoms,施主原子,
doping,掺杂,
electron flow,电子流,
electron volt,电子伏特,
energy levels,能级,
equivalent circuits,等效电路,
extrinsic materials,非本征材料,
free carriers,自由载流子,
full-wave rectification,全波整流,
half-wave rectification,半波整流,
hole,空穴,
intrinsic materials,本征材料,
knee voltage,膝点电压,
LCDs,液晶显示器,
load line analysis,负载线分析,
majority carrier,多数载流子,
maximum power,最大功率,
minority carrier,少数载流子,
multiplier networks,倍压网络,
negative temperature coefficient,负温度系数,
notation,符号表示,
practical applications,实际应用,
quiescent point,静态工作点,
rectifiers,整流器,
resistance levels,电阻水平,
reverse breakdown region,反向击穿区,
reverse recovery time,反向恢复时间,
semiconductors,半导体,
sinusoidal inputs,正弦输入,
valence electrons,价电子,
Direct-coupled amplifier,直接耦合放大器,
Display driver,显示驱动器,
DMM,数字万用表,
Donor atom,施主原子,
Double-ended input,双端输入,
Double-ended output,双端输出,
Doubler,倍压器,
Dynamic resistance,动态电阻,
decibel scale,分贝标度,
human ear,人耳,
audio power level,音频功率级,
loudness level,响度级,
sound intensity,声强,
microbar,微巴,
dyne per square centimeter,达因每平方厘米,
threshold level of hearing,听阈,
sound pressure level,声压级,
iPods,iPod,
MP3 players,MP3播放器,
hearing damage,听力损伤,
acoustical source,声源,
OPERATING POINT INFORMATION,工作点信息,
JFET Voltage-Divider Configuration,JFET分压器配置,
Fig. 8.63,图8.63,
V i,输入电压,
5 kHz,5千赫兹,
OrCAD 8-2,OrCAD 8-2,
AC/Sweep/Noise,交流/扫描/噪声,
AC Sweep,交流扫描,
Start Frequency,起始频率,
End Frequency,终止频率,
Total Points,总点数,
Run PSpice,运行PSpice,
V GS,栅源电压,
Example 7.4,例7.4,
V D,V D,
V DS,漏源电压,
View-Output File,查看输出文件,
Time Domain (Transient),时域（瞬态）,
Run to time,运行至时间,
Start saving data after,开始保存数据时间,
Maximum step size,最大步长,
SCHEMATIC,原理图,
Trace-Add Trace-V(J1:d),轨迹-添加轨迹-V(J1:d),
Fig 8.64,图8.64,
pinch-off level,夹断电压,
hallway,走廊,
travel corridor,通道,
p-CHANNEL FETs,p沟道场效应晶体管,
BJT transistors,双极结型晶体管,
Ohm’s law,欧姆定律,
n-channel JFET amplifier,n沟道结型场效应晶体管放大器,
VGSQ,VGSQ,
VDS,漏源电压,
RD,漏极电阻,
RS,源极电阻,
SCS,SCS,
pnpn device,pnpn器件,
anode gate,阳极门,
transistor equivalent circuit,晶体管等效电路,
gate current,门极电流,
anode-to-cathode voltage,阳极至阴极电压,
base-to-emitter junction,基极-发射极结,
regenerative action,再生作用,
triggering anode gate current,触发电流（阳极门）,
cathode gate current,阴极门电流,
operating temperature,工作温度,
load placement,负载位置,
Property Editor,属性编辑器,
AC,交流,
FREQ,频率,
PHASE,相位,
VAMPL,电压幅值,
VOFF,直流偏移电压,
VPRINT1,VPRINT1,
SPECIAL library,SPECIAL库,
special.olb,special.olb,
MAG,幅值,
EVAL library,EVAL库,
Q2N2222,Q2N2222,
PSpice Model Editor Lite,PSpice模型编辑器精简版,
V BE,V_BE,
source,源极,
resistance,电阻,
JFET transistor,结型场效应晶体管,
n-channel device,N沟道器件,
ohmic contact,欧姆接触,
drain (D),漏极 (D),
source (S),源极 (S),
gate (G),栅极 (G),
p–n junctions,p-n结,
water analogy,水流类比,
fluorescent lights,荧光灯,
radio stations,广播电台,
motors,电机,
generators,发电机,
signal-to-noise ratio,信噪比,
loop gain,环路增益,
dc line,直流线路,
drain resistance,漏极电阻,
control panel,控制面板,
RF noise,射频噪声,
Thévenin’s theorem,戴维南定理,
infrared (IR) signal,红外信号,
TV,电视,
VCR,录像机,
decoder–counter sequence,解码器-计数器序列,
staircase of voltage levels,电压阶梯,
volume control,音量控制,
normally open (NO) switch,常开开关,
capacitor,电容器,
equivalent circuit,等效电路,
operating conditions,工作条件,
data sheets,数据手册,
resistor values,电阻值,
transistor beta values,晶体管β值,
hybrid parameter values,混合参数值,
hybrid p model,混合π模型,
high-frequency analysis,高频分析,
feedback effect,反馈效应,
Chapter 9,第9章,
Fig. 5.3,图5.3,
small-signal ac equivalent circuit,小信号交流等效电路,
dc supplies,直流电源,
zero-potential equivalent,零电位等效,
short circuit,短路,
dc (quiescent level),直流（静态工作点）,
ac output,交流输出,
Fig. 5.4,图5.4,
Q-point,Q点,
coupling capacitors,耦合电容,
bypass capacitor,旁路电容,
reactance,电抗,
low-resistance path,低阻路径,
dc biasing resistor,直流偏置电阻,
open-circuit equivalent,开路等效,
dc steady-state conditions,直流稳态条件,
quiescent conditions,静态工作条件,
I D,漏极电流,
n -channel,N沟道,
current source,电流源,
BJT transistor,双极结型晶体管,
Varactor Diodes,变容二极管,
Varicap Diodes,变容二极管,
reverse bias potential,反向偏置电压,
incremental rate of change,增量变化率,
tuning ratio,调谐比,
Q value,Q值,
resonant frequency,谐振频率,
tank circuit,谐振电路,
MOSFETs,金属氧化物半导体场效应晶体管,
n-channel enhancement-type MOSFET,N沟道增强型MOSFET,
p-Channel Enhancement-Type MOSFETs,P沟道增强型金属氧化物半导体场效应晶体管,
region of operation,工作区域,
Transistor Specification Sheet,晶体管规格书,
temperature range,温度范围,
degrees Fahrenheit,华氏度,
boundaries of operation,工作边界,
input capacitance,输入电容,
reverse-bias potential,反向偏置电位,
design situation,设计情况,
Transistor Testing,晶体管测试,
"EMA Design Automation, Inc.","EMA Design Automation, Inc.",
info@emaeda.com,info@emaeda.com,
National Instruments Corporation,National Instruments Corporation,
ni.com/multisim,ni.com/multisim,
SPICE,SPICE,
OrCAD Release 16.3 DVD,OrCAD 16.3版DVD,
Cadence OrCAD 16.3,Cadence OrCAD 16.3,
Demo Installation,演示版安装,
Preparing Setup,准备设置,
Welcome to the Installation Wizard for OrCAD 16.3 Demo,欢迎使用OrCAD 16.3演示版安装向导,
License Agreement,许可协议,
I accept,我接受,
Choose Destination,选择目标位置,
Install OrCAD 16.3 Demo,安装OrCAD 16.3演示版,
C:\OrCAD\OrCAD_16.3 Demo,C:\OrCAD\OrCAD_16.3 演示版,
Start Copying Files,开始复制文件,
Ready to Install Program,准备安装程序,
Installing Crystal Report Xii,正在安装Crystal Report Xii,
Setup status installs program,设置状态：正在安装程序,
Install Wizard,安装向导,
Searching for and adding programs to the Windows firewall exception list,正在搜索并将程序添加到Windows防火墙例外列表,
Generating indexes for Cadence Help,正在为Cadence帮助生成索引,
