source,target,tgt_lng
Low dropout 550 kHz DC/DC controller,低压差550 kHz DC/DC控制器,
Switching regulator controllers,开关稳压器控制器,
transient response,瞬态响应,
SO-8,SO-8,
Power Control & Ideal Diode Design,电源控制与理想二极管设计,
Ideal diodes,理想二极管,
power supply wiring errors,电源布线错误,
Ideal diode controller,理想二极管控制器,
power OR-ing applications,电源或联应用,
ORing diodes,或门二极管,
MOSFETs,MOSFET,
Dual monolithic ideal diode,双单片理想二极管,
PCMCIA socket voltage switching,PCMCIA插槽电压切换,
PC card power management techniques,PC卡电源管理技术,
Battery Management,电池管理,
battery charger,电池充电器,
high current portable electronics,大电流便携式电子产品,
Battery conditioner,电池调理器,
Li-Ion batteries,锂离子电池,
calibration circuit,校准电路,
Li-Ion battery management systems,锂离子电池管理系统,
USB power solution,USB电源解决方案,
switching power manager,开关电源管理器,
synchronous buck regulators,同步降压稳压器,
LDO,低压差稳压器,
Switching USB power manager,开关式USB电源管理器,
PowerPath control,PowerPath 控制,
Universal Li-Ion battery charger,通用锂离子电池充电器,
Handheld high power battery charger,手持式高功率电池充电器,
NiMH/NiCd battery charging,镍氢/镍镉电池充电,
Dual Smart Battery charger,双智能电池充电器,
Advanced topology USB battery charger,先进拓扑结构USB电池充电器,
Li-Ion linear charger,锂离子线性充电器,
Dual battery power manager,双电池电源管理器,
buck-boost converter,升降压转换器,
lithium-ion to 3.3V applications,锂离子至3.3V应用,
step-up/step-down power supply,升压/降压电源,
SOT-23 Li-Ion battery charger,SOT-23封装锂离子电池充电器,
LT1505,LT1505,
Li-Ion charge termination IC,锂离子充电终止集成电路,
PWM switchers,PWM开关电源,
low dropout battery charger,低压差电池充电器,
charger topology,充电器拓扑结构,
lithium-ion cells,锂离子电芯,
Battery backup regulator,电池备份稳压器,
Dual PowerPath controller,双PowerPath控制器,
constant-current/constant-voltage 3A battery charger,恒流/恒压3A电池充电器,
fused lead battery charger ICs,带保险丝的铅酸电池充电器集成电路,
"micropower, low dropout regulators",微功耗低压差稳压器,
Micropower DC/DC converter,微功耗DC/DC转换器,
low-battery detector,低电量检测器,
Section 3 Switching Regulator Basics,第3节 开关稳压器基础,
dual boost/inverter tracks supplies,双路升压/反相跟踪电源,
Ultralow noise switching power supplies,超低噪声开关电源,
EMI compliance,电磁干扰合规性,
Monolithic DC/DC converters,单片式DC/DC转换器,
Capacitor and EMI considerations,电容与电磁干扰考量,
high frequency switching regulators,高频开关稳压器,
positive and negative supply,正负电源,
single inductor,单电感,
Floating input,浮地输入,
Programming pulse generators,可编程脉冲发生器,
flash memories,闪存,
microamp quiescent current,微安级静态电流,
Inductor selection,电感选型,
Section 4 Switching Regulator Design: Buck (Step-Down),第4节 开关稳压器设计：降压型（步降）,
Inverting DC/DC controller,反相DC/DC控制器,
monolithic synchronous buck SWITCHER+,单片同步降压SWITCHER+,
"input current, output current and temperature sensing/limiting capabilities",输入电流、输出电流及温度检测/限幅功能,
rail-to-rail output synchronous step-down regulator,轨到轨输出同步降压稳压器,
2.5 μA quiescent current,2.5微安静态电流,
Bootstrap biasing,自举偏置,
high input voltage step-down controller,高输入电压降压控制器,
dual monolithic buck,双路单片降压稳压器,
die temperature monitor,芯片温度监测,
standalone comparator block,独立比较器模块,
3-phase supply,三相电源,
Stage Shedding,相位卸载,
active voltage positioning,主动电压定位,
nonlinear control,非线性控制,
load step response,负载阶跃响应,
light load Stage Shedding mode,轻载相位卸载模式,
low RSENSE,低感测电阻,
remote VOUT sensing,远端VOUT检测,
dual output high efficiency converter,双路输出高效率转换器,
dual output step-down controller,双路输出降压控制器,
high current rails,大电流供电轨,
monolithic synchronous buck regulator,单片同步降压稳压器,
QFN,QFN封装,
dual output buck regulator with current partitioning,带电流分配的双路输出降压稳压器,
Triple buck regulator,三路降压稳压器,
1-wire dynamically programmable output voltages,单线动态可编程输出电压,
Buck converter,降压转换器,
auxiliary low voltage negative rails,辅助低压负电源轨,
synchronous step-down regulator,同步降压稳压器,
Step-down synchronous controller,降压同步控制器,
I2C-controllable quad synchronous step-down DC/DC regulator,I2C可控四路同步降压DC/DC稳压器,
power-conscious portable processors,注重功耗的便携式处理器,
triple step-down regulator,三路降压稳压器,
LDO driver,LDO驱动器,
output tracking and sequencing,输出跟踪与上电时序,
positive-to-negative voltage converter,正转负电压转换器,
SOT-23,SOT-23,
superbeta op amp,超β运算放大器,
precision applications,精密应用,
low noise rail-to-rail SOT-23 op amp,低噪声轨到轨SOT-23运算放大器,
Fast op amps,高速运算放大器,
rail-to-rail amplifiers,轨到轨放大器,
instrumentation amplifier,仪表放大器,
micropower rail-to-rail op amp,微功耗轨到轨运算放大器,
1μA op amp,1μA运算放大器,
precision portable circuitry,精密便携式电路,
"low power, fast op amps",低功耗高速运算放大器,
Operational amplifier selection guide,运算放大器选型指南,
optimum noise performance,最佳噪声性能,
micropower dual and quad JFET op amps,微功耗双通道和四通道JFET运算放大器,
pA input bias currents,皮安级输入偏置电流,
C-Load drive capability,C负载驱动能力,
Fast current feedback amplifiers,高速电流反馈放大器,
low impedance loads,低阻抗负载,
C-Load op amps,C负载运算放大器,
instabilities,不稳定性,
rail-to-rail amplifier,轨到轨放大器,
source resistance-induced distortion,源电阻引起的失真,
broadband random noise generator,宽带随机噪声发生器,
Peak detectors,峰值检测器,
Linear Technology op amps,凌力尔特运算放大器,
High frequency amplifier evaluation board,高频放大器评估板,
Current feedback amplifier,电流反馈放大器,
JFET op amp macromodel,JFET运算放大器宏模型,
chopper vs bipolar op amps,斩波型与双极型运算放大器,
Ultralow noise op amp,超低噪声运算放大器,
SPICE op amp macromodel,SPICE运算放大器宏模型,
precision high voltage instrument amp,精密高压仪表放大器,
"micropower, single supply applications",微功耗单电源应用,
"self-biased, buffered reference",自偏置缓冲基准,
megaohm input impedance difference amplifier,兆欧级输入阻抗差分放大器,
Noise calculations in op amp circuits,运算放大器电路中的噪声计算,
LT1012A op amp,LT1012A运算放大器,
LT1013//LT1014 model,LT1013/LT1014型号,
LT1021,LT1021,
LT1021-5,LT1021-5,
LT1024,LT1024,
LT1025,LT1025,
LT1027,LT1027,
LT1028,LT1028,
LT1034,LT1034,
LT1037,LT1037,
LT1056,LT1056,
LT1070,LT1070,
LT1071,LT1071,
LT1072,LT1072,
circuit design,电路设计,
transformer design,变压器设计,
LT1073,LT1073,
LT1074,LT1074,
circuit description,电路描述,
LT1076,LT1076,
capacitors,电容器,
heat sinking,散热,
inductor,电感器,
inductors,电感器,
layout,布局,
output adjustment,输出调节,
performance,性能,
LT1077,LT1077,
LT1077//LT1078/LT1079,LT1077/LT1078/LT1079,
LT1080,LT1080,
LT1080//LT1081,LT1080/LT1081,
LT1081,LT1081,
LT1083,LT1083,
LT1084,LT1084,
LT1085,LT1085,
LT1097,LT1097,
LT1097CN8,LT1097CN8,
LT1101,LT1101,
micropower instrumentation amplifier,微功耗仪表放大器,
LT1109,LT1109,
LT1111,LT1111,
LT1115,LT1115,
LT1118,LT1118,
LT1118-2.5,LT1118-2.5,
LT1118-2.85,LT1118-2.85,
LT1118-5,LT1118-5,
LT1120,LT1120,
LT1121,LT1121,
LT1123,LT1123,
LT1124,LT1124,
LT1129-3.3,LT1129-3.3,
LT1130,LT1130,
LT1158,LT1158,
LT1167,LT1167,
ADC signal conditioning,模数转换器信号调理,
current source,电流源,
gain,增益,
input protection,输入保护,
low input bias current and noise voltage,低输入偏置电流和噪声电压,
LT1169,LT1169,
LT1171,LT1171,
LT1172,LT1172,
LT1173,LT1173,
LT1175,LT1175,
LT1178 op amp,LT1178运算放大器,
LT1180 RS232 transceiver,LT1180 RS232收发器,
LT1180/81 RS232 transceivers,LT1180/81 RS232收发器,
LT1180//LT1181,LT1180/LT1181,
LT1182//LT1183/LT1184F/LT1184,LT1182/LT1183/LT1184F/LT1184,
LT1182 floating CCFL configuration,LT1182浮动CCFL配置,
LT1190,LT1190,
LT1191,LT1191,
LT1192,LT1192,
LT1193,LT1193,
LT1204 four-input video multiplexer IC,LT1204四路视频多路复用器集成电路,
LT1206,LT1206,
LT1207,LT1207,
LT1210 CFA,LT1210电流反馈放大器,
LT1220 families,LT1220系列,
LT1223,LT1223,
LT1223 and LT1227,LT1223与LT1227,
LT1228 A3,LT1228 A3,
LT1228 A4,LT1228 A4,
LT1236,LT1236,
LT1237,LT1237,
ESD protection techniques,静电放电保护技术,
interfacing with 3V logic,与3V逻辑接口,
PC board layout,印制电路板布局,
LT1241,LT1241,
"low cost high efficiency, high power density DC/DC converter",低成本高效率高功率密度DC/DC转换器,
synchronous switching,同步开关,
LT1254,LT1254,
LT1256 cable equalizer,LT1256电缆均衡器,
LT1259,LT1259,
LT1269,LT1269,
LT1270,LT1270,
LT1303,LT1303,
LT1304,LT1304,
2-cell to 5V converter,双节电池至5V转换器,
super Burst Mode operation,超突发模式操作,
LT1307,LT1307,
455kHz noise considerations,455kHz噪声考虑,
single-cell boost converter,单节电池升压转换器,
LT1308,LT1308,
2-cell digital-camera supply,双节电池数码相机电源,
single Li-Ion cell,单节锂离子电池,
LT1316,LT1316,
"2-cell, low profile LCD bias generator fits in small places",双节电池、低剖面LCD偏置发生器，适用于狭小空间,
supercapacitor-powered backup supply,超级电容供电备用电源,
LT1328,LT1328,
functional description,功能描述,
IrDA FIR,红外数据协会快速红外,
IrDA SIR,红外数据协会标准红外,
4ppm,4ppm,
LT1330,LT1330,
LT1331,LT1331,
LT1332,LT1332,
LT1339,LT1339,
distributed power,分布式电源,
higher input voltages,更高输入电压,
LT1342,LT1342,
LT1351//LT1352/LT1353 family,LT1351/LT1352/LT1353系列,
buffering data acquisition systems,缓冲数据采集系统,
filters,滤波器,
two op amp instrumentation amplifier,双运放仪表放大器,
LT1354–LT1363,LT1354–LT1363,
LT1355,LT1355,
LT1360,LT1360,
LT1366,LT1366,
LT1367,LT1367,
I2C,I²C,
IBM PCs,IBM个人计算机,
IC instrumentation amplifiers,集成电路仪表放大器,
IEEE 802.3af Power over Ethernet (PoE) standard,IEEE 802.3af以太网供电标准,
LTC4259A,LTC4259A,
"IEEE 1394 High Performance Serial Bus (""FireWire"")",IEEE 1394高速串行总线（“火线”）,
IF amplifier,中频放大器,
IF receiver chain,中频接收链,
Independent adjustable current limit,独立可调电流限值,
Independent synchronization,独立同步,
InfiniBand specification,InfiniBand规范,
Infrared Data Association (IrDA) FIR,红外数据协会（IrDA）快速红外,
Infrared Data Association (IrDA) SIR,红外数据协会（IrDA）标准红外,
Input common mode voltage (VINCM),输入共模电压,
Input current sensing,输入电流检测,
Input noise reduction,输入噪声抑制,
Input voltage lockout and sequencing,输入电压闭锁与上电时序控制,
Inrush limiting,浪涌电流限制,
Instrumentation amplifier (IA),仪表放大器,
Intel Mobile CPUs,英特尔移动处理器,
Intel Mobile Voltage Positioning (IMVP),英特尔移动电压定位技术,
Intel Pentium III processors,英特尔奔腾III处理器,
Interface standards,接口标准,
Intermediate frequency (IF) receiver performance,中频接收机性能,
Intermodulation distortion (IMD),互调失真,
Inverting charge pump,反相电荷泵,
ISDN services,综合业务数字网服务,
Isolated excitation supply (24V),隔离激励电源（24 V）,
JFET,结型场效应晶体管,
Kelvin sensing,开尔文检测,
Kirchhoff’s Voltage Law,基尔霍夫电压定律,
Large area photodiode amplifiers,大面积光电二极管放大器,
Large TFT-LCD displays,大尺寸薄膜晶体管液晶显示器,
LCD (liquid crystal display),液晶显示器,
LEDs brightness,LED亮度,
LEDs brightness control,LED亮度控制,
LEDs dimming,LED调光,
LED driver,LED驱动器,
LED driver design,LED驱动器设计,
LEDs driving from 12VAC input,从12 V交流输入驱动LED,
LEDs thermal regulation,LED热调节,
LF156-LF356,LF156-LF356,
"Li-Ion battery charger, solar-powered",太阳能供电的锂离子电池充电器,
Li-Ion battery systems,锂离子电池系统,
Li-Ion LED driver for white LEDs,用于白光LED的锂离子电池LED驱动器,
Li-Ion powered driver for white LEDs,由锂离子电池供电的白光LED驱动器,
"Li-Ion/polymer batteries, charging",锂离子/聚合物电池充电,
Li-Ion-powered driver for white LEDs,由锂离子电池供电的白光LED驱动器,
Linear phase lowpass filters,线性相位低通滤波器,
Linear variable differential transformers (LVDTs),线性可变差动变压器,
LVDTs circuit calibration,LVDT电路校准,
LVDTs circuit description,LVDT电路描述,
LVDTs operation,LVDT工作原理,
Linear voltage regulators,线性稳压器,
Linearized platinum RTD bridge,线性化铂电阻温度检测器电桥,
Liquid crystal display (LCD),液晶显示器,
24V boost converter,24 V升压转换器,
Lithium-ion (Li-Ion) batteries,锂离子电池,
Lithium-ion battery charger,锂离子电池充电器,
Lithium-ion cell,锂离子电芯,
"""Load-feedforward"" signal",“负载前馈”信号,
Local Area Networks,局域网,
Logging photodiode amplifier,对数光电二极管放大器,
Long-term drift,长期漂移,
Loop compensation,环路补偿,
Low cost 50MHz voltage controlled amplifier,低成本50 MHz压控放大器,
"Low distortion, achieving",实现低失真,
Low distortion HDSL line driver,低失真HDSL线路驱动器,
Low dropout (LDO) voltage regulators,低压差稳压器,
Low input voltage CCFL power supply,低输入电压冷阴极荧光灯电源,
"Low noise, low distortion, 16-bit, 1Msps SAR ADC",低噪声低失真16位1 MSPS逐次逼近型模数转换器,
"Low noise, low power photodiode amplifier",低噪声低功耗光电二极管放大器,
Low noise amplifiers,低噪声放大器,
Low power elliptic antialiasing filter,低功耗椭圆抗混叠滤波器,
Low ripple high frequency operation,低纹波高频工作,
Lowpass filters,低通滤波器,
LTC1563 approach,LTC1563方法,
LT10XX,LT10XX,
LT1004,LT1004,
LT1006,LT1006,
LT1006 or the LT1077,LT1006或LT1077,
LT1006//LT1013/LT1014,LT1006/LT1013/LT1014,
LT1007,LT1007,
LT1007 precision bipolar op amp,LT1007精密双极型运算放大器,
LT1009,LT1009,
LT1012,LT1012,
LT1012A,LT1012A,
LT1370,LT1370,
5V SEPIC converter,5V SEPIC转换器,
5V to 12V boost converter,5V至12V升压转换器,
positive to negative converter,正转负转换器,
LT1371,LT1371,
LT1372,LT1372,
LT1373,LT1373,
dual output converter,双路输出转换器,
3.3V SEPIC converter,3.3V SEPIC转换器,
LT1374,LT1374,
dual output SEPIC converter,双路输出SEPIC转换器,
high efficiency,高效率,
SO-8 packaged,SO-8封装,
LT1376,LT1376,
output ripple voltage,输出纹波电压,
regulation performance and efficiency,稳压性能与效率,
LT1377,LT1377,
LT1394,LT1394,
4 × NTSC subcarrier tunable crystal oscillator,4倍NTSC副载波可调晶体振荡器,
high speed adaptive trigger circuit,高速自适应触发电路,
LT1395//LT1396/LT1397,LT1395/LT1396/LT1397,
LT1425,LT1425,
LT1431,LT1431,
LT1460,LT1460,
higher performance,更高性能,
industrial temperature range,工业温度范围,
surface mount,表面贴装,
longer battery life with precision,高精度延长电池寿命,
small package,小型封装,
LT1461,LT1461,
LT1462/3/4/5,LT1462/LT1463/LT1464/LT1465,
driving large capacitive loads,驱动大容性负载,
LT1466L,LT1466L,
high side current sense amplifier,高端电流检测放大器,
picoampere input current instrumentation amplifier,皮安级输入电流仪表放大器,
"3.3V, 1kHz, 4th order Butterworth filter",3.3V、1kHz、四阶巴特沃斯滤波器,
variable current source,可变电流源,
LT1467L quad,LT1467L四通道,
LT1469,LT1469,
LT1490A,LT1490A,
LT1491,LT1491,
LT1495,LT1495,
LT1497,LT1497,
HDSL line driver,HDSL线路驱动器,
LT1510,LT1510,
battery charger IC,电池充电器集成电路,
board layout and testing,电路板布局与测试,
LT1511,LT1511,
LT1511 battery charger,LT1511电池充电器,
higher duty cycle for,更高占空比,
LT1511 battery charger IC,LT1511电池充电器集成电路,
LT1513,LT1513,
LT1521,LT1521,
LT1521-5,LT1521-5,
LT1533,LT1533,
circuitry details,电路细节,
performance characteristics,性能特性,
LT1534,LT1534,
additional features,附加特性,
low noise bipolar supply,低噪声双极性电源,
low noise boost regulator,低噪声升压稳压器,
LT1567,LT1567,
differential buffer/driver,差分缓冲器/驱动器,
differential to single-ended amplifier,差分转单端放大器,
free design software,免费设计软件,
single-ended to differential amplifier,单端转差分放大器,
LT1568,LT1568,
application examples,应用实例,
device description,器件描述,
4th order bandpass filter,四阶带通滤波器,
4th order elliptic lowpass filter,四阶椭圆低通滤波器,
LT1573,LT1573,
LT1575,LT1575,
LT1577,LT1577,
LT1579,LT1579,
LT1580,LT1580,
-based circuit,基于……的电路,
circuit example,电路示例,
features of,特性,
LT1585,LT1585,
LT1587-based circuit,LT1587基电路,
LT1613,LT1613,
LT1615,LT1615,
LT1615-1,LT1615-1,
1-cell alkaline to 3V boost converter using,采用……的单节碱性电池至3V升压转换器,
LT1616,LT1616,
LT1617,LT1617,
LT1617-1,LT1617-1,
LT1618,LT1618,
Li-Ion white LED driver,锂离子白光LED驱动器,
LXHL-BWO2 white LED,LXHL-BWO2白光LED,
LXHL-PW09 white LED,LXHL-PW09白光LED,
USB to 12V boost converter,USB至12V升压转换器,
USB to 5V SEPIC DC/DC converter,USB至5V SEPIC直流/直流转换器,
LT1618EDD,LT1618EDD,
LT1619,LT1619,
automotive supply,汽车电源,
choosing the MOSFET,MOSFET选型,
3.3V to 5V converters,3.3V至5V转换器,
LT1634A reference,LT1634A基准源,
LT1641 Hot Swap controller,LT1641热插拔控制器,
automatic restart,自动重启,
LT1675,LT1675,
LT1676,LT1676,
LT1677,LT1677,
LT1681,LT1681,
isolated 48V to 3.3V supply,隔离式48V至3.3V电源,
LT1711,LT1711,
LT1714,LT1714,
LT1720 comparators,LT1720比较器,
"LT1722, LT1723 and LT1724 low noise amplifiers",LT1722/LT1723/LT1724低噪声放大器,
LT1725,LT1725,
circuit operation,电路工作原理,
LT1725 switching regulator controller,LT1725开关稳压控制器,
LT1761,LT1761,
applying the regulators,稳压器应用,
noise performance,噪声性能,
LT1761-5,LT1761-5,
LT1766,LT1766,
efficiency,效率,
peak switch current,峰值开关电流,
LT1768,LT1768,
P54C Pentium processor,P54C 奔腾处理器,
P55C Pentium processor,P55C 奔腾处理器,
P55C upgrade processor,P55C 升级处理器,
Pan/tilt/zoom (PTZ),云台变焦（PTZ）,
Parallel composite amplifier,并行复合放大器,
PC 2-channel analog I/O interface,PC 双通道模拟输入/输出接口,
PC data acquisition cards,PC 数据采集卡,
P-channel JFET input op amps,P沟道结型场效应晶体管输入运算放大器,
P-channel MOSFET,P沟道MOSFET,
PCI Express,PCI Express,
MiniCard,MiniCard,
PE-65342,PE-65342,
detecting pulses,脉冲检测,
detecting sinewaves,正弦波检测,
Pentium III microprocessors,奔腾III微处理器,
Pentium processor-based motherboards,基于奔腾处理器的主板,
Pentium processors,奔腾处理器,
Peripheral Component Interconnect (PCI) bus,外围组件互连（PCI）总线,
LTC1421,LTC1421,
Personal Computer Memory Card International Association (PCMCIA),个人计算机存储卡国际协会（PCMCIA）,
PGOOD pin,PGOOD引脚,
PGOOD signal,PGOOD信号,
2-phase power supply,两相电源,
3-phase power supply,三相电源,
Phase-locked loop lowpass filter (PLL LPF) pin,锁相环低通滤波器（PLL LPF）引脚,
Phase-locked loops (PLLs),锁相环（PLL）,
PHASEMODE pin,PHASEMODE引脚,
PHMODE pin,PHMODE引脚,
Photoflash capacitor charger,闪光灯电容充电器,
Photoflash capacitor charging circuit (320V),闪光灯电容充电电路（320 V）,
Piezo motor,压电电机,
Piezoelectric transducer application,压电换能器应用,
Pilot light flame detector with low-battery lockout,带低电量锁定功能的指示灯火焰探测器,
Platinum RTDs (resistance temperature detectors),铂电阻温度探测器（RTD）,
Platinum temperature transducers,铂温度传感器,
PMOS switch in LTC1626,LTC1626中的PMOS开关,
PoE Powered Devices (PDs),以太网供电受电设备（PD）,
131072-point FFT,131072点快速傅里叶变换,
Point-of-load (POL) conversion,负载点（POL）转换,
PolyPhase architecture,多相架构,
PolyPhase surface mount power supply,多相表面贴装电源,
Portable computers,便携式计算机,
Portable gas sensor,便携式气体传感器,
Portable reference,便携式基准源,
POTS (plain old telephone system),传统电话系统（POTS）,
Power conservation with auto shutdown operation,自动关断操作下的功耗节约,
Power good output pin (PGOOD),电源正常输出引脚（PGOOD）,
Power good output voltage monitor (PGOOD),电源正常输出电压监测器（PGOOD）,
Power good timer (PGT),电源正常定时器（PGT）,
Power monitor for automotive power monitoring,汽车电源监控用电源监视器,
Power monitor for telecom power monitoring with PoE,支持以太网供电的电信电源监控用电源监视器,
Power operational amplifiers,功率运算放大器,
LT1970,LT1970,
Power over Ethernet (PoE),以太网供电（PoE）,
2-pair vs 4-pair PD,双对线与四对线受电设备（PD）,
PD interface controller,受电设备（PD）接口控制器,
Power Sourcing Equipment (PSE),供电设备（PSE）,
synchronous flyback controller,同步反激控制器,
Power routing circuit,电源路由电路,
Power saving operating modes,节能工作模式,
Power sink peripherals,电源吸收型外设,
Power supplies,电源,
isolation controller,隔离控制器,
LTC2928 configuration software,LTC2928配置软件,
power management cycle,电源管理周期,
subscriber line interface circuit descriptions,用户线接口电路描述,
layout and thermal considerations,布局与热考虑因素,
tracker,跟踪器,
Power system management (PSM),电源系统管理（PSM）,
Powered Device (PD) interface controller,受电设备（PD）接口控制器,
PowerPath controller,PowerPath控制器,
PowerPath System,PowerPath系统,
"Precision, matched, baseband filter ICs",精密匹配基带滤波器集成电路,
Precision “clip-on” current probe for CCFL measurements,用于CCFL测量的精密“夹式”电流探头,
Precision 16-bit DACs,精密16位数模转换器,
op amps for,运算放大器,
“Precision High Voltage IA”,精密高压仪表放大器,
Precision low dropout regulator,精密低压差稳压器,
"Precision measurement, simplifying",简化精密测量,
Precision micropower voltage doubler,精密微功耗电压倍增器,
Precision photodiode amplifier,精密光电二极管放大器,
Precision receiver delay,精密接收器延迟,
Precision Zener diode,精密齐纳二极管,
Offline LED lighting,离线LED照明,
high power factor,高功率因数,
isolated LED driver,隔离式LED驱动器,
opto-isolators,光耦隔离器,
TRIAC dimmer,TRIAC调光器,
medium LCD LED backlights,中型LCD LED背光,
single inductor LED driver,单电感LED驱动器,
100V controller,100V控制器,
high power LED strings,高功率LED串,
Triple LED driver,三路LED驱动器,
LCD backlights,LCD背光,
buck,降压,
boost,升压,
buck-boost modes,升降压模式,
PWM dimming ratio,PWM调光比,
μModule LED driver,μModule LED驱动器,
surface mount package,表面贴装封装,
TFT LCD bias supply,TFT LCD偏置电源,
white LED driver,白光LED驱动器,
universal LED driver,通用LED驱动器,
TFT-LCD displays,TFT-LCD显示器,
space-saving triple-output regulator,节省空间的三路输出稳压器,
high power LED driver controller,高功率LED驱动器控制器,
high voltage buck converters,高压降压转换器,
Wide input range 1A LED driver,宽输入范围1A LED驱动器,
high brightness LEDs,高亮度LED,
automotive supplies,汽车电源,
12VAC supplies,12V交流电源,
Monolithic converter,单片转换器,
Quad output switching converter,四路输出开关转换器,
large TFT LCD panels,大型TFT LCD面板,
flashlamp illumination circuitry,闪光灯照明电路,
cellular telephones/cameras,手机/相机,
DC/DC converter,DC/DC转换器,
ThinSOT white LED driver,ThinSOT白光LED驱动器,
internal switch,内部开关,
Schottky diode,肖特基二极管,
SC70 package,SC70封装,
uniform LED brightness,均匀LED亮度,
fast efficient charging,快速高效充电,
low battery drain,低电池功耗,
matching LED brightness,匹配LED亮度,
high power desktop LCD backlight controller,高功率台式机LCD背光控制器,
wide dimming ratios,宽调光范围,
maximizing lamp lifetime,最大化灯管寿命,
tiny regulators,微型稳压器,
white LED backlights,白光LED背光,
High power CCFL backlight inverter,高功率CCFL背光逆变器,
desktop LCD displays,台式机LCD显示器,
precision wideband current probe,精密宽带电流探头,
LCD backlight measurement,LCD背光测量,
Floating CCFL,浮地CCFL,
dual polarity contrast,双极性对比度,
LT6557,LT6557,
LT6559,LT6559,
LT6600-10 lowpass filter,LT6600-10低通滤波器,
